Ticker,Stock Name,Price Code,Ratios Code,In Market?
AKAM,Akamai Technologies,GOOG/NASDAQ_AKAM,DMDRN/AKAM_ALLFINANCIALRATIOS,Active
AKDS,Arkados Group Inc,GOOG/PINK_AKDS,DMDRN/AKDS_ALLFINANCIALRATIOS,Active
AKPB,Alaska Pacific Bancshares Inc,NA,DMDRN/AKPB_ALLFINANCIALRATIOS,Active
AKR,Acadia Realty Trust,GOOG/NYSE_AKR,DMDRN/AKR_ALLFINANCIALRATIOS,Active
AKRX,Akorn,GOOG/NASDAQ_AKRX,DMDRN/AKRX_ALLFINANCIALRATIOS,Active
AKS,Ak Steel Holding Corp.,GOOG/NYSE_AKS,DMDRN/AKS_ALLFINANCIALRATIOS,Active
AKSY,Aksys Ltd,GOOG/PINK_AKSY,DMDRN/AKSY_ALLFINANCIALRATIOS,Active
AL,Air Lease Corporation Class A C,GOOG/NYSE_AL,DMDRN/AL_ALLFINANCIALRATIOS,Active
ALAN,Alanco Technologies Inc.,GOOG/PINK_ALAN,DMDRN/ALAN_ALLFINANCIALRATIOS,Active
ALB,Albemarle Corp.,GOOG/NYSE_ALB,DMDRN/ALB_ALLFINANCIALRATIOS,Active
ALBY,Community Capital Bancshares I,GOOG/PINK_ALBY,DMDRN/ALBY_ALLFINANCIALRATIOS,Active
ALC,Assisted Living Concepts Inc.,GOOG/NYSE_ALC,DMDRN/ALC_ALLFINANCIALRATIOS,Active
ALC.TO,Algoma Central Corp.,YAHOO/TSX_ALC_TO,DMDRN/ALC_TO_ALLFINANCIALRATIOS,Active
ALCO,Alico,GOOG/NASDAQ_ALCO,DMDRN/ALCO_ALLFINANCIALRATIOS,Active
ALCS,Alco Stores Inc,GOOG/NASDAQ_ALCS,DMDRN/ALCS_ALLFINANCIALRATIOS,Active
ALDA,Aldila Inc.,GOOG/PINK_ALDA,DMDRN/ALDA_ALLFINANCIALRATIOS,Active
ALDW,Alon USA Partners LP,GOOG/NYSE_ALDW,DMDRN/ALDW_ALLFINANCIALRATIOS,Active
ALE,Allete,GOOG/NYSE_ALE,DMDRN/ALE_ALLFINANCIALRATIOS,Active
ALG,Alamo Group,GOOG/NYSE_ALG,DMDRN/ALG_ALLFINANCIALRATIOS,Active
ALGI,Amer. Locker Group,GOOG/PINK_ALGI,DMDRN/ALGI_ALLFINANCIALRATIOS,Active
ALGN,Align Technology,GOOG/NASDAQ_ALGN,DMDRN/ALGN_ALLFINANCIALRATIOS,Active
ALGT,Allegiant Travel Company,GOOG/NASDAQ_ALGT,DMDRN/ALGT_ALLFINANCIALRATIOS,Active
ALIF,Artificial Life Inc,GOOG/PINK_ALIF,DMDRN/ALIF_ALLFINANCIALRATIOS,Active
ALIM,Alimera Sciences,GOOG/NASDAQ_ALIM,DMDRN/ALIM_ALLFINANCIALRATIOS,Active
ALJ,Alon USA Energy,GOOG/NYSE_ALJ,DMDRN/ALJ_ALLFINANCIALRATIOS,Active
ALJJ,ALJ Regional Hlds Inc,GOOG/PINK_ALJJ,DMDRN/ALJJ_ALLFINANCIALRATIOS,Active
ALK,Alaska Air Group,GOOG/NYSE_ALK,DMDRN/ALK_ALLFINANCIALRATIOS,Active
ALKS,Alkermes,GOOG/NASDAQ_ALKS,DMDRN/ALKS_ALLFINANCIALRATIOS,Active
ALL,Allstate Corporation,GOOG/NYSE_ALL,DMDRN/ALL_ALLFINANCIALRATIOS,Active
